MB	Food No.	Food Name	Anal Type	Sample Qualifier	Replicate No.	Element	Conc	Unit	Trace	LOD	LOQ	Result Qualifier and Remarks	Method	Instrument	Batch ID
200301	1	"Milk, whole, fluid"	O			Arsenic	0	mg/kg		0.01	0.04		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	312
200301	1	"Milk, whole, fluid"	O			Cadmium	0	mg/kg		0.002	0.005		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	316
200301	1	"Milk, whole, fluid"	O			Calcium	1070	mg/kg		3	10		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	1	"Milk, whole, fluid"	O			Copper	0	mg/kg		0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	1	"Milk, whole, fluid"	O			Iron	0	mg/kg		0.7	3		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	1	"Milk, whole, fluid"	O			Lead	0	mg/kg		0.007	0.03		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	316
200301	1	"Milk, whole, fluid"	O			Magnesium	105	mg/kg		3	10		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	1	"Milk, whole, fluid"	O			Manganese	0	mg/kg		0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301087
200301	1	"Milk, whole, fluid"	O			Mercury	0	mg/kg		0.01	0.04		KCM TD M4 & E6 (CVAAS; Hg; Food)	CVAAS	301
200301	1	"Milk, whole, fluid"	O			Nickel	0	mg/kg		0.02	0.05		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	316
